Gene,MCF10A_R1,MCF10A_R2,MCF10A_R3,MCF7_R1,MCF7_R2,MCF7_R3,MDA.MB.231_R1,MDA.MB.231_R2,MDA.MB.231_R3
C2orf54,0.47629051650082,2.23716641399791,0.275684865812066,3.02606924943471,4.43831098112275,2.52718441745795,0,0,0.0500004254547931
C2orf68,9.17653061791581,9.17896219860906,8.1843944537957,17.7887622233125,20.1649288868362,20.153764808131,7.17814137196189,5.45894111085659,5.57504743820944
C2orf69,15.654081642327,5.8561120837004,15.9552616088733,41.8276300926536,31.6761646734925,34.9770818113717,18.179815334014,14.6202333711555,18.1751546528173
C2orf76,1.27010804400219,1.51337728005741,1.86087284423144,4.97745970000476,4.49910976168607,3.46160554660206,3.31853771970097,2.83756839920763,2.75002340001362
C2orf81,0.635054022001094,1.77657332876304,0.534139427510877,1.78170432443352,2.29008740121859,2.12368438441844,0.288568497365302,0.216195687558677,0.225001914546569
C3,829.98385405433,2743.29241565884,287.401472609079,0.311091231250297,0.445857724131052,0.637105315325533,1.00998974077856,1.59444319574524,0.325002765456155
C3orf14,6.57280912771132,5.0994234436717,8.08101262911618,69.0905343585887,61.2041057670808,60.9497418328093,14.1759274330705,13.890572925645,14.2251210418886
C3orf17,27.275570244947,23.161252286096,19.8493103384687,34.7008127949195,30.4399228020382,27.2468706520886,16.0876937281156,17.9442420673702,16.1751376346256
C3orf18,1.20660264180208,1.11858320699895,1.58518797841938,0.226248168182034,0.486390244506602,0.530921096104611,4.54495383350351,4.83737850912539,4.62503935456837
C3orf33,2.34969988140405,4.90202640714247,2.27440014294954,2.57357291307064,2.20902236046748,2.61213179283468,1.58712673550916,2.48625040692478,1.95001659273693
C3orf38,19.8771908886342,14.5744811970746,13.0950311260731,33.2867617437818,28.0687703600685,26.1000810845027,20.1637237534005,20.5385903180743,18.8001599710022
C3orf52,2.28619447920394,0.789588146116908,2.94638200336645,2.31904372386585,1.41863821314426,1.40163169371617,4.00388790094357,3.64830222755267,4.27503637638481
C3orf58,18.8293517523324,6.90889627852295,11.2858491941814,41.9690351977674,33.5811931311433,35.0407923429043,9.95561315910292,10.2422706980923,10.400088494597
C3orf62,3.39753901770585,5.98771010805322,3.20483656506526,1.47061309318322,1.09437805013986,1.52905275678128,2.16426373023977,2.1889813365316,1.60001361455338
C3orf67,0.857322929701477,0.197397036529227,1.0510485509085,1.6685802403425,1.21597561126651,1.01936850452085,1.04606080294922,1.18907628157272,1.4250121254616
C3orf70,0,0,0,1.15952186193293,0.932247968637654,0.998131660676668,1.15427398946121,0.945856133069211,0.925007870913673
C4BPB,0,0.197397036529227,0.0172303041132541,0,0,0,9.73918678607895,8.72890088518158,9.70008253822987
C4orf19,1.46062425060252,2.50036246270354,0.809824293322943,13.1506747755807,14.9767662787658,11.7227378019898,2.09212160589844,1.4052719691314,1.65001404000817
C4orf27,4.50888355620777,3.58604616361429,6.96104286175466,5.20370786818679,4.45857724131052,4.65086880187639,12.8052270705853,12.0529095813962,12.925109980064
C4orf29,10.0973589498174,7.43528837593422,7.92593989209689,9.38929897955443,7.76197765191786,7.94257959772498,7.21421243413255,8.70187642423674,8.30007062549566
C4orf3,27.1485594405468,34.2154863317327,20.7625164564712,23.7277766380909,20.4283902692773,19.0494489282334,30.48004753421,35.0507258454505,32.9252801619813
C4orf32,16.0033613544276,6.64570022981731,15.0937464032106,15.9504958568334,11.3085731847785,13.0394221203292,10.8573897133695,11.4043225187202,11.8001004073312
C4orf33,10.3513805586178,8.32357504031574,9.08037026768492,1.49889411420598,1.33757317239316,0.998131660676668,7.39456774498587,7.53982460360885,7.37506275458199
C4orf36,1.84165666380317,1.18438221917536,1.70580010721216,1.13124084091017,0.668786586196578,0.764526378390639,1.04606080294922,1.08097843779338,0.750006381821897
C4orf46,8.79549820471515,2.53326196879175,9.06313996357166,12.8678645653532,9.72780489013204,9.79018501216902,45.5938225837177,39.050346065286,47.7254060966001
C4orf48,0.984333734101695,2.79645801749738,4.204194203634,1.13124084091017,4.07351829774279,2.78202654358816,2.16426373023977,2.59434825070412,2.07501765637392
C5,3.74681872980645,2.27006592008611,6.306291305451,3.73309477500357,3.01967276797849,2.8669739189649,6.09600950684201,6.43182170487064,7.65006509458335
C5AR2,0.666806723101148,0.131598024352818,2.46393348819534,4.38355825852692,5.16789634788265,3.84386873579738,0.0360710621706628,0.0270244609448346,0
C5orf15,52.6777311249907,34.6102804047911,29.6533533789103,33.8523821642369,29.1428821500206,29.4555024118838,38.1992548387319,38.4828323854445,35.0002978183552
C5orf22,11.7802521081203,9.73825380210853,9.58004908696928,18.6937548960406,15.4834227834602,16.585975042308,21.1376424320084,21.1601529198055,20.1251712455542
C5orf24,47.1527611335812,30.3004451072363,40.680748011393,35.2381521943519,25.9002805199766,30.7934235740674,42.2392138018461,44.5633360980323,42.3753605729372
C5orf28,11.018187281719,3.12545307837943,6.11675796020521,8.99336468523587,5.73535163314035,6.49847421632043,6.42064906637797,6.56694400959481,7.05005998912583
C5orf30,7.62064826401313,7.36948936375781,8.66684296896682,18.8917220431999,17.12498985867,15.6303170693197,12.9495113192679,11.9448117376169,11.5750984927846
C5orf34,5.36620648590924,0.263196048705636,4.63495180646535,4.12902906932213,3.48579675229732,3.71644767273227,5.01387764172212,6.16157709542229,5.0750431836615
C5orf38,4.54063625730782,5.95481060196501,7.85701867564387,1.49889411420598,2.99940650779071,3.01563182587419,0.0721421243413255,0.135122304724173,0
C5orf42,43.4694478059749,33.6890942343214,22.2787832184376,13.8294192801268,10.7005853791452,11.8713957088991,25.2858145816346,22.9978162640542,25.4252163437623
C5orf45,5.01692677380864,12.9624053987526,10.4760249008585,3.56340864886704,4.23564837924499,3.63150029735554,1.51498461116784,1.43229643007623,1.4250121254616
C5orf51,17.9085234204308,14.5086821848982,14.2839221098877,17.8736052863807,13.1730691220538,16.1612381654243,20.5605054372778,19.8359543335086,19.1251627364584
C5orf55,0.730312125301258,1.4804777739692,0.999357638568738,2.77154006022992,2.83727642628851,2.93068445049745,1.2624871759732,0.837758289289873,1.00000850909586
C5orf56,0.698559424201203,4.60593085234863,0.516909123397623,0.226248168182034,0.243195122253301,0.361026345351135,1.80355310853314,1.72956550046941,1.52501297637119
C5orf63,3.93733493640678,3.38864912708506,4.8417154558244,2.03623351363831,1.90502845765086,2.10244754057426,1.87569523287446,1.4863453519659,1.65001404000817
C5orf66,3.23877551220558,4.70462937061324,2.37778196762907,0.19796714715928,0.141863821314426,0.233605282286029,0.288568497365302,0.270244609448346,0.225001914546569
C6orf1,1.0478391363018,2.1713674018215,2.42947287996883,1.32920798806945,3.48579675229732,2.80326338743234,11.2181003350761,12.7825700269068,10.1000859418682
C6orf106,59.9490996769033,81.6894736170118,64.8376343781752,53.5925348381194,58.0831016981634,61.6293208358232,59.1926130220576,58.7241536331256,59.1005028875655
C6orf120,18.8928571545325,18.983015012894,16.0931040417793,35.5492434256021,32.3652175198768,29.6466340064815,16.8812570958702,16.0525298012318,16.2251380600804
C6orf132,21.3060624381367,52.0799181376277,19.7631588179025,4.15731009034488,4.94496748581712,4.82076355262986,1.47891354899717,1.86468780519359,1.4750125509164
